ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
343,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,109-114,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,750600,9658,1109006,Construction,2011-12-30
345,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,109-114,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,750600,9658,1109006,Construction,2011-12-30
347,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,109-114,URBANDALE CONSTRUCTION,Rowhouse,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,750600,9658,1109006,Construction,2011-12-30
300,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,123-128,URBANDALE CONSTRUCTION,Single,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,712520,9320,1109007,Construction,2011-12-30
302,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,123-128,URBANDALE CONSTRUCTION,Single,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,712520,9320,1109007,Construction,2011-12-30
304,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,123-128,URBANDALE CONSTRUCTION,Single,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,712520,9320,1109007,Construction,2011-12-30
306,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,123-128,URBANDALE CONSTRUCTION,Single,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,712520,9320,1109007,Construction,2011-12-30
308,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,123-128,URBANDALE CONSTRUCTION,Single,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,712520,9320,1109007,Construction,2011-12-30
310,COOKS MILL CRES,K1V 2N3,Ward 22,4M-1448,123-128,URBANDALE CONSTRUCTION,Single,Gloucester,"Construct a block of 6, 2 storey rowhomes with attached garages",6,712520,9320,1109007,Construction,2011-12-30
196,JAMES ST,K1R 5M7,Ward 14,30671,34-35,"BATEMAN, ALLAN",Apartment,Old Ottawa,Interior alterations in the basement of a 3 storey apartment building,0,18000,2117,1109008,Construction,2011-12-30
5620,ROCKDALE RD,K0A 3H0,Ward 19,,24,***CONTRACTOR***,Single,Cumberland,Construct a deck in the rear yard of a detached dwelling,0,2145,215,1109010,Construction,2011-12-30
75,CREEK DR,,Ward 5,4M-815,23,***CONTRACTOR***,Single,West Carleton,Construct a 1 storey detached dwelling with attached garage,1,200000,1500,1109011,Construction,2011-12-30
1474,BOURCIER DR,K1E 3J8,Ward 1,50M-78,159,***CONTRACTOR***,Single,Cumberland,Finish a basement in a 2 storey detached dwelling,0,5000,89,1109012,Construction,2011-12-30
