ST,ROAD,PC,WARD,PLAN,LOT,CONTRACTOR,BLG_TYPE,MUNICIPALITY,DESCRIPTION,DU,VALUE,FT2,PERMIT,APPL_TYPE,ISSUED_DATE
138,WILLOW CREEK CIR,K2G 7A7,Ward 22,4M-1202,271,MERMAID POOLS (MERIVALE),Single,Nepean,Install an enclosure for an above ground pool (rear yard),0,0,0,1307306,Pool Enclosure,2013-10-10
3,LEONARD AVE,K1S 4T6,Ward 17,36,14,***CONTRACTOR***,Detached Garage/Shed,Old Ottawa,Construct a detached garage (rear yard),0,7500,463,1307307,Construction,2013-10-10
4104,CALBRENT WAY,K0A 2W0,Ward 20,1127,6,***CONTRACTOR***,Single,Osgoode,Construct a shed (rear yard),0,3000,144,1307308,Construction,2013-10-10
2043,ST. LAURENT BLVD,K1G 1A5,Ward 18,4M-86,PT LOT 3,CONTRACTOR UNKNOWN,Apartment,Old Ottawa,"Interior alterations - remove the kitchens on the ground and 2nd floors, convert 1 unit in the basement into a kitchen. Now a 27 Unit Rooming House.",0,1200,2,1307309,Construction,2013-10-10
1743,CARLING AVE,K2A 1C8,Ward 15,469,1,CONTRACTOR UNKNOWN,Office,Old Ottawa,Small Building Category: Interior alterations to the main floor of a 1 storey retail building (Install commercial exhaust hood and new plumbing for sinks),0,15000,50,1307310,Construction,2013-10-10
21,MCKITRICK DR,K2L 2J7,Ward 23,M-220,1374,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1307311,Construction,2013-10-10
16,BINSCARTH CRES,K2L 1S1,Ward 23,,,TWO BROTHERS CONSTRUCTION,Single,Kanata,PLUMBING ONLY - Install a Protective Device on the building drain,0,0,0,1307312,Construction,2013-10-10
2911,PRINCE OF WALES DR,K2C 3H1,Ward 22,,PT LOTS 18 & 19,CONTRACTOR UNKNOWN,Demolition,Nepean,Demolish a 2 storey hotel,0,5000,-3660,1307313,Demolition,2013-10-10
1025,RIDDELL AVE S,K2C 2J6,Ward 8,304,pt 38,***CONTRACTOR***,Single,Old Ottawa,Install an enclosure for a hot tub (rear yard),0,0,0,1307314,Pool Enclosure,2013-10-10
222,BEECHWOOD AVE,K1L 8A7,Ward 12,M-25,213 to 217,CONTRACTOR UNKNOWN,Apartment,Vanier,FOUNDATION ONLY - Construct a 10 storey condominium building,133,3287205,73049,1307315,Construction,2013-10-10
1820,FARWEL ST,,Ward 19,170P,,NATIONWIDE RESTAURANT EQUIPMENT,Retail,Cumberland,Interior alterations to convert a detached garage with a Group F3 occupancy to a Group E occupancy (pastry shop),0,28728,1064,1307316,Construction,2013-10-10
2543,RIVER RD,K4M 1B4,Ward 20,,20,CDS BUILDING MOVERS,Demolition,Osgoode,Remove a 1 storey detached dwelling,-1,2000,-1100,1307317,Demolition,2013-10-10
578,ROOSEVELT AVE,K2A 2A1,Ward 15,235,32,CONTRACTOR UNKNOWN,Single,Old Ottawa,Construct a 2 storey detached dwelling,1,386153,3117,1307318,Construction,2013-10-10
1331,CLYDE AVE,K2C 3G4,Ward 16,,,CONTRACTOR UNKNOWN,Office,Old Ottawa,"Tenant fit-up in a 5 storey office building (St. Louis, unit 119)",0,375000,3476,1307319,Construction,2013-10-10
151,WILD SENNA WAY,K2J 5Z5,Ward 3,,18,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,Construct a 3 storey 8 block townhouse,8,1206214,10820,1307320,Construction,2013-10-10
153,WILD SENNA WAY,K2J 5Z5,Ward 3,,18,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,Construct a 3 storey 8 block townhouse,8,1206214,10820,1307320,Construction,2013-10-10
155,WILD SENNA WAY,K2J 5Z5,Ward 3,,18,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,Construct a 3 storey 8 block townhouse,8,1206214,10820,1307320,Construction,2013-10-10
157,WILD SENNA WAY,K2J 5Z5,Ward 3,,18,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,Construct a 3 storey 8 block townhouse,8,1206214,10820,1307320,Construction,2013-10-10
250,LEATHER LEAF TERR,,Ward 3,,18,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,Construct a 3 storey 8 block townhouse,8,1206214,10820,1307320,Construction,2013-10-10
252,LEATHER LEAF TERR,,Ward 3,,18,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,Construct a 3 storey 8 block townhouse,8,1206214,10820,1307320,Construction,2013-10-10
254,LEATHER LEAF TERR,,Ward 3,,18,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,Construct a 3 storey 8 block townhouse,8,1206214,10820,1307320,Construction,2013-10-10
256,LEATHER LEAF TERR,,Ward 3,,18,RICHCRAFT HOMES LIMITED,Rowhouse,Nepean,Construct a 3 storey 8 block townhouse,8,1206214,10820,1307320,Construction,2013-10-10
143,WILD SENNA WAY,K2J 5Z7,Ward 3,,pt 18,RICHCRAFT HOMES LTD.,Rowhouse,Nepean,Construct a 3 storey block of 8 back to back rowhouse dwellings,8,1246346,11180,1307321,Construction,2013-10-10
145,WILD SENNA WAY,K2J 5Z7,Ward 3,,pt 18,RICHCRAFT HOMES LTD.,Rowhouse,Nepean,Construct a 3 storey block of 8 back to back rowhouse dwellings,8,1246346,11180,1307321,Construction,2013-10-10
147,WILD SENNA WAY,K2J 5Z5,Ward 3,,pt 18,RICHCRAFT HOMES LTD.,Rowhouse,Nepean,Construct a 3 storey block of 8 back to back rowhouse dwellings,8,1246346,11180,1307321,Construction,2013-10-10
149,WILD SENNA WAY,K2J 5Z5,Ward 3,,pt 18,RICHCRAFT HOMES LTD.,Rowhouse,Nepean,Construct a 3 storey block of 8 back to back rowhouse dwellings,8,1246346,11180,1307321,Construction,2013-10-10
242,LEATHER LEAF TERR,,Ward 3,,pt 18,RICHCRAFT HOMES LTD.,Rowhouse,Nepean,Construct a 3 storey block of 8 back to back rowhouse dwellings,8,1246346,11180,1307321,Construction,2013-10-10
